DateTime,Concentration,Diff,SgnDiff,SgnDiff1,SgnDiff2,SgnDiff3,Year,Month,DayWeek,Hour,Outlier,IsOutDiff,Concentration_Imput2,IndexLastMiss
2019-01-04 08:00:00,3.0,0.8999999999999999,1.0,-1.0,1.0,1.0,2019,Jan,Fri,8,0,0,3.0,0
2019-01-04 09:00:00,5.5,2.5,1.0,1.0,1.0,1.0,2019,Jan,Fri,9,0,1,5.5,0
2019-01-04 10:00:00,7.9,2.4000000000000004,1.0,1.0,-1.0,1.0,2019,Jan,Fri,10,1,1,7.9,0
2019-01-04 11:00:00,6.5,-1.4000000000000004,-1.0,1.0,-1.0,1.0,2019,Jan,Fri,11,1,0,6.5,0
2019-01-04 12:00:00,6.7,0.20000000000000018,1.0,-1.0,1.0,1.0,2019,Jan,Fri,12,1,0,6.7,0
2019-01-04 13:00:00,7.3,0.5999999999999996,1.0,-1.0,-1.0,-1.0,2019,Jan,Fri,13,1,0,7.3,0
2019-01-04 14:00:00,5.7,-1.5999999999999996,-1.0,1.0,-1.0,-1.0,2019,Jan,Fri,14,0,1,5.7,0
2019-01-04 15:00:00,5.2,-0.5,-1.0,-1.0,1.0,1.0,2019,Jan,Fri,15,0,0,5.2,0
2019-01-04 16:00:00,5.9,0.7000000000000002,1.0,1.0,-1.0,-1.0,2019,Jan,Fri,16,0,0,5.9,0
2019-01-04 17:00:00,4.7,-1.2000000000000002,-1.0,-1.0,1.0,1.0,2019,Jan,Fri,17,0,0,4.7,0
2019-01-04 18:00:00,4.1,-0.6000000000000005,-1.0,1.0,1.0,-1.0,2019,Jan,Fri,18,0,0,4.1,0
2019-01-04 19:00:00,3.4,-0.6999999999999997,-1.0,1.0,-1.0,1.0,2019,Jan,Fri,19,0,0,3.4,0
2019-01-04 20:00:00,3.0,-0.3999999999999999,-1.0,1.0,-1.0,-1.0,2019,Jan,Fri,20,0,0,3.0,0
2019-01-04 21:00:00,3.6,0.6000000000000001,1.0,1.0,1.0,1.0,2019,Jan,Fri,21,0,0,3.6,0
2019-01-04 22:00:00,4.1,0.49999999999999956,1.0,1.0,1.0,1.0,2019,Jan,Fri,22,0,0,4.1,0
2019-01-04 23:00:00,5.1,1.0,1.0,1.0,-1.0,1.0,2019,Jan,Fri,23,0,1,5.1,0
2019-01-05 00:00:00,5.1,0.0,1.0,-1.0,-1.0,-1.0,2019,Jan,Sat,0,0,0,5.1,0
2019-01-05 01:00:00,4.6,-0.5,-1.0,-1.0,1.0,-1.0,2019,Jan,Sat,1,0,0,4.6,0
2019-01-05 02:00:00,4.1,-0.5,-1.0,-1.0,1.0,1.0,2019,Jan,Sat,2,0,0,4.1,0
2019-01-05 03:00:00,4.8,0.7000000000000002,1.0,-1.0,1.0,-1.0,2019,Jan,Sat,3,0,0,4.8,0
2019-01-05 04:00:00,4.6,-0.20000000000000018,-1.0,-1.0,1.0,-1.0,2019,Jan,Sat,4,0,0,4.6,0
2019-01-05 05:00:00,3.6,-0.9999999999999996,-1.0,1.0,-1.0,1.0,2019,Jan,Sat,5,0,1,3.6,0
2019-01-05 06:00:00,3.8,0.19999999999999973,1.0,1.0,1.0,1.0,2019,Jan,Sat,6,0,0,3.8,0
2019-01-05 07:00:00,3.9,0.10000000000000009,1.0,1.0,1.0,1.0,2019,Jan,Sat,7,0,0,3.9,0
2019-01-05 08:00:00,3.9,0.0,1.0,1.0,-1.0,1.0,2019,Jan,Sat,8,0,0,3.9,0
2019-01-05 09:00:00,4.8,0.8999999999999999,1.0,1.0,1.0,1.0,2019,Jan,Sat,9,0,0,4.8,0
2019-01-05 10:00:00,4.8,0.0,1.0,1.0,1.0,-1.0,2019,Jan,Sat,10,0,0,4.8,0
2019-01-05 11:00:00,6.8,2.0,1.0,-1.0,1.0,-1.0,2019,Jan,Sat,11,1,1,6.8,0
2019-01-05 12:00:00,8.2,1.3999999999999995,1.0,1.0,-1.0,1.0,2019,Jan,Sat,12,1,0,8.2,0
2019-01-05 13:00:00,9.2,1.0,1.0,1.0,-1.0,-1.0,2019,Jan,Sat,13,1,0,9.2,0
2019-01-05 14:00:00,8.1,-1.0999999999999996,-1.0,-1.0,1.0,-1.0,2019,Jan,Sat,14,1,0,8.1,0
2019-01-05 15:00:00,8.4,0.3000000000000007,1.0,-1.0,-1.0,1.0,2019,Jan,Sat,15,1,0,8.4,0
2019-01-05 16:00:00,7.3,-1.1000000000000005,-1.0,1.0,1.0,-1.0,2019,Jan,Sat,16,1,1,7.3,0
2019-01-05 17:00:00,4.7,-2.5999999999999996,-1.0,-1.0,-1.0,1.0,2019,Jan,Sat,17,0,1,4.7,0
2019-01-05 18:00:00,3.0,-1.7000000000000002,-1.0,-1.0,1.0,1.0,2019,Jan,Sat,18,0,1,3.0,0
2019-01-05 19:00:00,2.8,-0.20000000000000018,-1.0,-1.0,1.0,-1.0,2019,Jan,Sat,19,0,0,2.8,0
2019-01-05 20:00:00,3.5,0.7000000000000002,1.0,-1.0,1.0,-1.0,2019,Jan,Sat,20,0,0,3.5,0
2019-01-05 21:00:00,3.1,-0.3999999999999999,-1.0,1.0,1.0,1.0,2019,Jan,Sat,21,0,0,3.1,0
2019-01-05 22:00:00,2.3,-0.8000000000000003,-1.0,1.0,1.0,1.0,2019,Jan,Sat,22,0,0,2.3,0
2019-01-05 23:00:00,2.0,-0.2999999999999998,-1.0,1.0,1.0,-1.0,2019,Jan,Sat,23,0,0,2.0,0
2019-01-06 00:00:00,2.1,0.10000000000000009,1.0,1.0,-1.0,-1.0,2019,Jan,Sun,0,0,0,2.1,0
2019-01-06 01:00:00,2.2,0.10000000000000009,1.0,-1.0,-1.0,1.0,2019,Jan,Sun,1,0,0,2.2,0
2019-01-06 02:00:00,2.3,0.09999999999999964,1.0,-1.0,-1.0,1.0,2019,Jan,Sun,2,0,0,2.3,0
2019-01-06 03:00:00,2.3,0.0,1.0,1.0,-1.0,1.0,2019,Jan,Sun,3,0,0,2.3,0
2019-01-06 04:00:00,2.2,-0.09999999999999964,-1.0,-1.0,-1.0,1.0,2019,Jan,Sun,4,0,0,2.2,0
2019-01-06 05:00:00,2.3,0.09999999999999964,1.0,-1.0,1.0,-1.0,2019,Jan,Sun,5,0,0,2.3,0
2019-01-06 06:00:00,2.8,0.5,1.0,1.0,1.0,1.0,2019,Jan,Sun,6,0,0,2.8,0
2019-01-06 07:00:00,3.1,0.30000000000000027,1.0,1.0,1.0,1.0,2019,Jan,Sun,7,0,0,3.1,0
2019-01-06 08:00:00,3.1,0.0,1.0,1.0,1.0,-1.0,2019,Jan,Sun,8,0,0,3.1,0
2019-01-06 09:00:00,3.0,-0.10000000000000009,-1.0,1.0,1.0,1.0,2019,Jan,Sun,9,0,0,3.0,0
2019-01-06 10:00:00,4.7,1.7000000000000002,1.0,1.0,1.0,1.0,2019,Jan,Sun,10,0,0,4.7,0
2019-01-06 11:00:00,5.7,1.0,1.0,1.0,-1.0,1.0,2019,Jan,Sun,11,0,0,5.7,0
2019-01-06 12:00:00,4.9,-0.7999999999999998,-1.0,1.0,1.0,-1.0,2019,Jan,Sun,12,0,0,4.9,0
2019-01-06 13:00:00,7.4,2.5,1.0,1.0,1.0,-1.0,2019,Jan,Sun,13,1,1,7.4,0
2019-01-06 14:00:00,4.5,-2.9000000000000004,-1.0,-1.0,-1.0,1.0,2019,Jan,Sun,14,0,1,4.5,0
2019-01-06 15:00:00,2.5,-2.0,-1.0,1.0,-1.0,-1.0,2019,Jan,Sun,15,0,1,2.5,0
2019-01-06 16:00:00,2.8,0.2999999999999998,1.0,-1.0,1.0,1.0,2019,Jan,Sun,16,0,0,2.8,0
2019-01-06 17:00:00,2.1,-0.6999999999999997,-1.0,-1.0,-1.0,-1.0,2019,Jan,Sun,17,0,0,2.1,0
2019-01-06 18:00:00,3.4,1.2999999999999998,1.0,-1.0,-1.0,1.0,2019,Jan,Sun,18,0,1,3.4,0
2019-01-06 19:00:00,2.4,-1.0,-1.0,-1.0,-1.0,1.0,2019,Jan,Sun,19,0,1,2.4,0
2019-01-06 20:00:00,2.3,-0.10000000000000009,-1.0,1.0,-1.0,1.0,2019,Jan,Sun,20,0,0,2.3,0
